article_id,source,title,school_type,state,bias_score,justification,input_tokens,output_tokens
12530451,wikipedia/public,"Chesapeake High School (Pasadena, Maryland)",,,0,"The article presents factual, objective information about Chesapeake High School with neutral language, minimal editorial framing, and straightforward reporting of historical events, demographics, and programs without apparent bias toward any particular perspective.",981,64
8661580,wikipedia/public,East Clinton High School,,,1,"The article contains subtle bias in the athletics section through selective presentation of the coaching controversy, including a lengthy direct quote from the head coach expressing his grievance while providing no counterargument or explanation from the school board, creating an implicitly sympathetic framing toward the coach's perspective.",775,77
40523775,wikipedia/unknown,Cadentown School,,,0,"The article presents historical facts about Cadentown School in a neutral, factual manner without editorial framing, loaded language, or obvious bias toward any perspective.",959,53
2154267,wikipedia/unknown,McKinley High School (Louisiana),,,0,"The article presents factual, historical information about McKinley High School in a neutral manner, including dates, locations, and achievements without editorial framing, loaded language, or selective presentation of facts.",976,60
30661075,wikipedia/private,Sorenson's Ranch School,,,1,"The article presents factual information with mostly neutral language, but the 'Legal issues and abuse' section shows subtle bias through selective emphasis on negative incidents and unbalanced presentation—devoting substantial detail to abuse allegations while the earlier sections mention only positive accreditations and activities.",901,76
16338269,wikipedia/public,West Hall High School,,,0,"The article presents factual, objective information about West Hall High School including its location, demographics, programs, and achievements without editorial framing, loaded language, or advocacy for any particular perspective.",809,58
1577989,wikipedia/private,The Kiski School,,,0,"The article presents factual, historical information about The Kiski School in a neutral, encyclopedic style with no detectable bias, loaded language, or editorial framing.",964,56
3057549,wikipedia/unknown,Huffman High School,,,0,"The article presents factual, objective information about Huffman High School without editorial framing, loaded language, or apparent bias toward any particular perspective.",969,50
18718032,wikipedia/private,Twiggs Academy,,,1,"The article contains subtle bias through its straightforward presentation of the school's founding as a segregation academy without contextual commentary, combined with the prominent inclusion of Governor Maddox's inflammatory quote about 'federal police' destroying public education, which frames desegregation efforts negatively without editorial counterbalance or historical context.",961,87
20541958,wikipedia/unknown,Freetown Rosenwald School,,,0,"The article presents factual, objective information about the Freetown Rosenwald School with neutral language, accurate historical details, and no detectable editorial framing or bias toward any perspective.",463,65
5175252,wikipedia/public,Lindbergh High School (Washington),,,0,"The article presents factual, objective information about Lindbergh High School's location, naming, founding, architecture, and facilities without editorial framing, loaded language, or advocacy for any particular perspective.",936,61
20932925,wikipedia/public,"Maryvale High School (Phoenix, Arizona)",,,0,"The article presents factual, verifiable information about Maryvale High School's location, history, academic achievements, and notable alumni without editorial framing, loaded language, or apparent bias toward any particular perspective.",863,63
27401798,wikipedia/private,Salt Lake Lutheran High School,,,0,"The article presents factual, chronological information about the school's founding, locations, name change, and closure without editorial framing, loaded language, or selective presentation of facts.",573,56
36949642,wikipedia/public,Magnolia High School (Arkansas),,,0,"The article presents factual, neutral information about Magnolia High School without editorial framing, loaded language, or advocacy for any particular perspective; it simply documents the school's history, academics, athletics, and notable alumni in an objective manner.",864,69
52566634,wikipedia/public,Charles J. Colgan Sr. High School,,,0,"The article presents factual information about the school in a neutral, straightforward manner without editorial commentary, loaded language, or advocacy for any particular perspective.",932,50
58966678,wikipedia/unknown,Southgate Street School,,,0,"The article presents historical facts about Southgate Street School in a chronological, factual manner with neutral language, avoiding editorial commentary or loaded terminology while accurately documenting the school's history from its founding through its current use as a museum.",643,68
3283904,wikipedia/private,Saint Thomas Academy,,,0,"The article presents factual, encyclopedic information about Saint Thomas Academy with neutral language, chronological history, and objective descriptions of traditions and activities without editorial framing or bias toward any perspective.",945,59
18919889,wikipedia/public,Pottsgrove High School,,,0,"This article presents factual, institutional information about Pottsgrove High School without detectable editorial framing, opinion, or bias—it neutrally describes the school's location, enrollment, academic policies, and facilities.",997,65
9762063,wikipedia/private,Marist High School (New Jersey),,,0,"The article presents factual, well-documented information about the school's history, enrollment statistics, and closure with neutral language, objective framing, and no apparent editorial bias or selective omission of relevant perspectives.",973,62
5526764,wikipedia/public,Rossview High School,,,1,"The article contains subtle bias through selective word choice and framing, such as the subjective characterization of black and red as 'stylish' compared to the school colors, and the emphasis on positive achievements while the single mention of inadequate performance is immediately followed by improvement, creating a predominantly favorable narrative without presenting any counterbalancing critical perspectives.",915,90
3018053,wikipedia/public,"Theodore Roosevelt High School (Kent, Ohio)",,,0,"The article presents factual, encyclopedic information about Theodore Roosevelt High School with neutral language, objective descriptions of facilities and programs, historical dates and enrollment statistics, and no detectable editorial stance or loaded language favoring any particular perspective.",920,67
2177515,wikipedia/private,Oldfields School,,,0,"The article presents factual information about Oldfields School in a straightforward, neutral manner without editorial framing, loaded language, or selective emphasis that would favor any particular perspective.",698,56
31117695,wikipedia/public,Pueblo West High School,,,0,"The article presents factual, verifiable information about Pueblo West High School using neutral language, objective descriptions, and straightforward reporting of enrollment data, founding date, athletic achievements, and extracurricular activities without editorial framing or bias.",572,69
58142384,wikipedia/unknown,Arkansas Law Enforcement Training Academy,,,0,"The article presents factual, straightforward information about ALETA's history, operations, and training programs without editorial framing, loaded language, or advocacy for any particular perspective.",761,56
10043379,wikipedia/public,Goshen High School (Alabama),,,0,"The article presents factual, objective information about Goshen High School's history, location, grades taught, test results, and notable alumni without editorial framing, loaded language, or selective presentation of facts.",852,62
7212907,wikipedia/public,Mount Pleasant High School (Delaware),,,0,"The article presents factual, objective information about Mount Pleasant High School with neutral language, no editorial framing, and no apparent bias in the selection or presentation of facts.",999,54
13253111,wikipedia/public,"Union High School (Camas, Washington)",,,0,"The article presents factual, objective information about Union High School's history, athletics, and campus facilities without editorial framing, loaded language, or attempts to advance a particular viewpoint.",978,57
7644655,wikipedia/private,Mount Carmel Academy (Louisiana),,,0,"The article presents factual, objective information about Mount Carmel Academy with neutral language, no apparent editorial framing, and straightforward documentation of the school's history, location, and achievements without advocating for or against any particular perspective.",974,68
67487712,wikipedia/unknown,Daniels School,,,0,"The article presents factual, historical information about the Daniels School in a neutral, encyclopedic manner without editorializing, loaded language, or favoring any particular perspective.",870,57
42222842,wikipedia/public,Charles Drew High School,,,0,"The article presents only factual, verifiable information about the school's location, district affiliation, mascot, and one notable alumnus without any editorial framing, loaded language, or bias toward any perspective.",343,63
46237871,wikipedia/public,"Community Christian School (Tallahassee, Florida)",,,0,"The article presents factual information about Community Christian School's programs, athletics, and academics in a straightforward, descriptive manner without editorial framing, loaded language, or bias toward any particular perspective.",554,60
6072183,wikipedia/public,Reading Central Catholic High School,,,0,"The article presents factual, objective information about the school's history, facilities, and closure without editorial framing, loaded language, or apparent bias toward any perspective.",969,53
9637999,wikipedia/public,"Lake High School (Millbury, Ohio)",,,0,"The article presents factual information about Lake High School in a neutral, objective manner without editorial framing, loaded language, or bias toward any particular perspective.",676,51
45273827,wikipedia/unknown,"Marshall High School (Marshall, North Carolina)",,,0,"The article presents factual, verifiable information about the building's architecture, history, and timeline in a neutral, objective manner without editorial framing, loaded language, or selective emphasis toward any particular perspective.",397,61
11279042,wikipedia/private,Cardinal Ritter College Prep High School,,,0,"The article presents factual, straightforward information about the school's history, location, athletics, and notable alumni without editorial framing, loaded language, or obvious bias toward any particular perspective.",788,58
13743226,wikipedia/public,Bedford High School (Massachusetts),,,0,"The article presents factual, objective information about Bedford High School without editorial framing, loaded language, or selective presentation of facts; it includes demographic data, academic rankings, and notable alumni in a neutral, encyclopedic style typical of Wikipedia.",874,69
40019202,wikipedia/public,"Monterey High School (Monterey, Virginia)",,,0,"The article presents purely factual information about a historic building—its location, construction date, architectural features, and historical timeline—without editorial framing, loaded language, or favoritism toward any perspective.",447,60
34718181,wikipedia/public,Canton High School (Texas),,,0,"The article presents factual information about Canton High School in a neutral, encyclopedic style with no detectable bias, emotional language, or selective framing—it simply lists institutional facts, achievements, sports information, and notable alumni without editorial commentary or favoring any particular perspective.",664,76
49484105,wikipedia/unknown,"Cornell School (Alexandria, Ohio)",,,0,"The article presents only factual, verifiable information about the Cornell School with no detectable bias, loaded language, or editorial framing—it simply states when it was built, how long it operated, and what happened to it.",320,67
8442154,wikipedia/unknown,Doherty High School,,,0,"The article presents factual information about Doherty High School in a neutral, straightforward manner without editorial framing, loaded language, or selective presentation of information.",592,54
4407312,wikipedia/private,Westchester Country Day School,,,1,"The article contains subtle bias through selective presentation of accomplishments, unverified claims (such as '100% college acceptance rate'), and promotional language that emphasizes achievements without presenting any counterbalancing information or alternative perspectives.",1003,64
70837677,wikipedia/public,Desert Sunrise High School,,,0,"The article presents factual information about Desert Sunrise High School in a neutral, encyclopedic manner, using objective language to describe the school's location, history, facilities, and events without editorial framing or advocacy for any particular perspective.",847,68
2393293,wikipedia/public,Havelock High School,,,0,"The article presents factual, straightforward information about Havelock High School's history, facilities, athletics, and notable alumni without editorial framing, loaded language, or apparent bias toward any particular perspective.",852,62
1907678,wikipedia/public,Brookfield East High School,,,0,"The article presents factual, objective information about the school's location, district affiliation, achievements, athletics history, and notable alumni without editorial framing, loaded language, or apparent bias toward any perspective.",577,61
75276621,wikipedia/private,Vine Hill Academy,,,0,"The article presents factual, chronological information about Vine Hill Academy's history with neutral language, specific dates and names, and no detectable editorial framing or loaded language favoring any particular perspective.",995,61
37045062,wikipedia/public,Girls High School (Atlanta),,,0,"The article presents factual, historical information about Girls' High School in an objective manner, using neutral language to describe its founding, facilities, operations, and eventual closure without editorial commentary or selective framing favoring any particular perspective.",679,66
34328080,wikipedia/unknown,Japanese School of New York,,,0,"The article presents factual, objective information about the school's history, locations, and operations without editorial framing, loaded language, or apparent bias toward any perspective.",1006,53
54653599,wikipedia/public,Logan-Rogersville High School,,,0,"The article presents factual, objective information about Logan-Rogersville High School with neutral language, comprehensive statistics, and no detectable editorial framing or bias toward any particular perspective.",959,58
18966491,wikipedia/public,"Thomas Jefferson High School (Richmond, Virginia)",,,0,"The article presents factual, objective information about the school's history, architecture, and notable alumni without editorial framing, loaded language, or selective presentation of facts.",512,53
11139168,wikipedia/unknown,St. Jude Educational Institute,,,0,"The article presents factual, historical information about St. Jude Educational Institute in a neutral tone, with no detectable editorial bias, loaded language, or selective framing of facts.",546,58
17566221,wikipedia/unknown,Texas Alliance of Accredited Private Schools,,,0,"The article presents factual information about TAAPS in neutral language without editorial framing, loaded terminology, or advocacy for any particular perspective.",402,48
24562783,wikipedia/unknown,Grace Community School (Texas),,,0,"The article presents factual information about the school's history, mission, accreditations, and achievements using neutral language without editorializing, loaded terms, or selective framing of counterarguments.",827,60
10806054,wikipedia/public,Amador Valley High School,,,0,"The article presents factual, historical information about Amador Valley High School with neutral language, balanced presentation of achievements and timeline, and no apparent editorial framing or loaded language that favors any particular perspective.",967,62
7442280,wikipedia/public,Apex High School,,,0,"The article presents factual, neutral information about Apex High School's history, facilities, academics, and athletics without detectable editorial framing, loaded language, or bias toward any particular perspective.",989,59
4004033,wikipedia/public,George D. Chamberlain High School,,,0,"The article is factual, neutral, and objective, presenting basic information about the school's location, opening date, naming, demographics, athletics, and accomplishments without editorial framing, loaded language, or bias toward any perspective.",564,66
29454269,wikipedia/public,Mercer Area Middle-High School,,,0,"The article presents only factual information about the school's location, colors, mascot, and notable alumni with no editorial framing, loaded language, or selective presentation of perspectives.",350,56
61937033,wikipedia/private,Immaculata Preparatory School,,,0,"The article presents factual information about Immaculata Preparatory School in a neutral, encyclopedic manner without editorial framing, loaded language, or selective emphasis favoring any particular perspective.",553,60
3967101,wikipedia/private,"Christian Heritage School (Dalton, Georgia)",,,0,"The article presents factual information about Christian Heritage School in a neutral, objective manner, focusing on basic institutional details and sports accomplishments without editorial framing, loaded language, or advocacy for any particular viewpoint.",524,62
60618313,wikipedia/public,Force11 Scholarly Communication Institute,,,0,"The article presents factual information about FSCI's structure, history, and impact in an objective manner with neutral language, balanced description of the program's components, and minimal editorial framing.",784,59
9474841,wikipedia/private,American Heritage Schools,,,0,"The article presents factual, descriptive information about American Heritage Schools with neutral language, no editorial commentary, balanced presentation of basic facts (history, campuses, academics), and no apparent selective framing or loaded language that favors any particular perspective.",968,70
3371784,wikipedia/public,Rayne High School,,,0,"The article presents factual, objective information about Rayne High School including its location, history, athletics, and notable alumni without editorial framing, loaded language, or apparent bias toward any perspective.",594,60
9459886,wikipedia/unknown,Damonte Ranch High School,,,0,"The article presents factual, straightforward information about the school's history, location, athletics, and notable alumni without editorial framing, loaded language, or advocacy for any particular perspective.",677,57
28917432,wikipedia/charter,Juan B. Galaviz Charter School,,,0,"The article presents factual information about the charter school's history, financial troubles, and closure in a neutral, encyclopedic manner without editorial framing, loaded language, or selective presentation of facts.",695,60
3049678,wikipedia/public,Holy Name High School,,,0,"The article presents factual, neutral information about Holy Name High School's history, facilities, athletics, and notable alumni without editorial framing, loaded language, or advocacy for any particular viewpoint.",988,59
57208766,wikipedia/public,Uniontown High School (Kansas),,,0,"The article presents factual, objective information about Uniontown High School with neutral language, no editorial framing, and no apparent bias in its treatment of the subject matter.",398,55
48968438,wikipedia/public,Eleanor Roosevelt High School (California),,,0,"The article presents factual, objective information about the school's basic facts, demographics, athletics, and documented controversies without editorial language, emotional framing, or bias toward any particular perspective.",1068,58
30041237,wikipedia/public,Frederic Remington High School,,,0,"The article presents factual, objective information about the school's location, history, and operations without editorial framing, loaded language, or selective presentation of perspectives.",1090,52
11671311,wikipedia/private,Lipscomb Academy,,,0,"The article presents factual information about Lipscomb Academy in a neutral, objective manner without editorial framing, loaded language, or bias toward any particular perspective.",597,53
48527117,wikipedia/unknown,"Holy Cross High School (Marine City, Michigan)",,,0,"The article presents only factual, objective information about the school's history with no editorial framing, loaded language, or bias toward any perspective.",318,49
9782677,wikipedia/public,Cape Coral High School,,,0,"The article presents factual, objective information about Cape Coral High School using neutral language, organized by categories (awards, achievements, athletics, etc.) without editorial framing or selective emphasis favoring any particular perspective.",972,63
78174286,wikipedia/public,Manor New Technology High School,,,0,"The article presents factual, objective information about the school's history, facilities, academics, and athletics without editorial framing, loaded language, or advocacy for any particular viewpoint.",715,56
2090845,wikipedia/private,Montclair College Preparatory School,,,0,"The article presents factual information about the school's history, governance, and closure in a straightforward, neutral manner without loaded language, editorial framing, or selective presentation of facts.",715,57
5068438,wikipedia/private,Bryn Mawr School,,,0,"The article presents factual, historical information about Bryn Mawr School in a neutral, encyclopedic manner with no detectable editorial framing, loaded language, or bias toward any perspective.",940,61
29788923,wikipedia/private,The Gregory School,,,0,"The article presents factual, historical information about The Gregory School in a neutral, encyclopedic manner without editorial framing, loaded language, or advocacy for any particular perspective.",970,55
55026395,wikipedia/unknown,North Side School,,,0,"This article presents straightforward factual information about a historic school building with dates, names, and uses stated objectively, containing no editorializing, loaded language, or selective framing of multiple viewpoints.",367,62
3659458,wikipedia/unknown,Grissom High School (Alabama),,,0,"The article presents factual information about the school's history, achievements, and notable people in a straightforward, neutral manner without editorial framing, loaded language, or apparent bias toward any particular perspective.",1053,60
7103744,wikipedia/public,Johns Creek High School,,,0,"The article presents factual, neutral information about Johns Creek High School's basic characteristics, academic rankings, and athletic achievements without editorial framing, loaded language, or selective omission of counterarguments.",1103,60
7643242,wikipedia/private,St. Mary's Dominican High School,,,0,"This article presents factual, historical information about St. Mary's Dominican High School in a straightforward, chronological manner without editorial framing, loaded language, or apparent bias toward any particular perspective.",972,60
5437769,wikipedia/unknown,Dimond High School,,,0,"The article presents factual, encyclopedic information about Dimond High School's history, facilities, and enrollment with neutral language, no editorial framing, and no apparent bias toward any perspective.",959,60
37807684,wikipedia/public,Norfork High School,,,0,"The article presents factual information about Norfork High School in a neutral, encyclopedic style typical of Wikipedia, using objective language and avoiding editorial framing or loaded terminology.",864,57
5663608,wikipedia/public,Tilton School,,,0,"The article presents factual, chronological information about Tilton School's history, enrollment, and facilities using neutral language without editorial framing, selective omissions of counterarguments, or advocacy for any particular viewpoint.",956,65
29540692,wikipedia/public,Cody High School (Wyoming),,,0,"The article presents only factual, verifiable information about the school's location, district, enrollment, mascots, colors, and rival school without any editorial framing, loaded language, or selective presentation of facts.",362,63
73905613,wikipedia/unknown,Ludwick Institute,,,0,"The article presents factual, chronological information about the Ludwick Institute's establishment, evolution, and closure using neutral language without editorial framing, loaded terminology, or one-sided perspective.",456,59
20686576,wikipedia/public,Louisa County High School,,,0,"The article is factual, neutral, and objective, presenting factual information about the school's history, facilities, curriculum, and achievements without editorial framing, loaded language, or advocacy for any particular viewpoint.",957,63
7401088,wikipedia/public,Ocean View High School,,,0,"The article presents factual, well-organized information about Ocean View High School without editorial framing, loaded language, or selective presentation of facts; it neutrally documents the school's history, curriculum, programs, and achievements.",1029,65
12441580,wikipedia/private,Isle of Wight Academy,,,1,"The article presents factual historical information about the school's origins as a segregation academy with objective language, but the prominent placement of the school's discriminatory founding and practices in the opening and early sections, while appropriate for historical accuracy, creates a subtle framing that emphasizes the negative aspects without balancing discussion of the school's current policies or how it has evolved.",934,94
9754952,wikipedia/public,"Memorial High School (Port Arthur, Texas)",,,0,"The article is a factual, encyclopedic entry that presents basic information about Memorial High School including its history, athletics, organizations, and notable alumni without editorial framing, loaded language, or bias toward any particular perspective.",959,65
4451707,wikipedia/public,Croatan High School,,,0,"The article presents factual, neutral information about Croatan High School's location, district affiliation, awards, athletic achievements, and programs without editorial framing, loaded language, or selective presentation of facts.",571,62
40341547,wikipedia/unknown,Shiloh School,,,0,"The article presents factual, objective information about Shiloh School's physical characteristics, history, and historical significance without editorial framing, loaded language, or favoring any particular perspective.",401,64
14996623,wikipedia/public,Rio Linda High School,,,0,"The article is purely factual and informational, presenting basic details about the school's location, enrollment, history, demographics, rankings, and notable alumni without any editorial framing, loaded language, or perspective advocacy.",702,63
45474611,wikipedia/public,Hancock Point School,,,0,"The article presents factual, descriptive information about a historic schoolhouse with objective language, neutral tone, and no apparent editorial bias or selective presentation of information.",684,52
22757991,wikipedia/private,St. Andrew's Schools,,,0,"The article presents factual, well-documented information about St. Andrew's Schools with neutral language, objective descriptions of institutional facts, and balanced coverage of the school's history, structure, and administration without editorial framing or loaded language.",1055,67
2289639,wikipedia/public,"Paul Laurence Dunbar High School (Lexington, Kentucky)",,,0,"The article presents factual, factually-dense information about the school's location, enrollment, academic achievements, and programs in an objective, neutral manner without editorial framing, loaded language, or apparent bias toward any particular perspective.",1056,66
5472254,wikipedia/public,Santa Fe High School (California),,,0,"The article presents factual, objective information about Santa Fe High School with neutral language, verifiable data (enrollment numbers, founding date, achievement metrics), and a straightforward list of notable alumni without editorial framing or bias.",654,65
6677268,wikipedia/public,Palm Springs High School,,,0,"The article presents factual, objective information about Palm Springs High School's history, athletics, and notable alumni without editorial framing, loaded language, or apparent bias toward any perspective.",561,56
49374040,wikipedia/public,Daleville High School,,,0,"The article presents only factual information about the school's location, type, and district composition without editorial framing, loaded language, or apparent bias toward any perspective.",344,53
31513156,wikipedia/unknown,Atrisco Heritage Academy High School,,,1,"The article contains subtle bias in its presentation of the drag show controversy, which is framed factually but selectively emphasizes the controversy without providing context about the event's purpose, attendance, or differing community perspectives on the incident.",776,67
34804127,wikipedia/public,Columbus Global Academy,,,0,"The article presents factual, descriptive information about Columbus Global Academy with neutral language, objective tone, and no apparent editorial framing or bias toward any particular perspective.",903,53
15993780,wikipedia/public,Killeen High School,,,0,"The article presents factual, objective information about Killeen High School including enrollment statistics, ratings, athletic programs, and notable alumni without editorial framing, loaded language, or selective presentation favoring any particular perspective.",741,63
21439992,wikipedia/public,John E. Dwyer Technology Academy,,,0,"The article is factual, neutral, and balanced, presenting objective information about the school's location, facilities, history, accreditation, enrollment statistics, and curriculum without editorial framing or loaded language.",926,61
